system:index,LC_Type1,LC_Type2,Unnamed_ 0,datetime,google:max_source_file_timestamp,latitude,longitude,school_id,timestamp,.geo
2020_01_01_000000000000000005b7,12.0,12.0,1463,2020-01-01 00:00:00,1.640916859E12,14.93333611,120.5,105970,1577836800000,"{""type"":""Point"",""coordinates"":[120.50000006207247,14.933337686644949]}"
2020_01_01_0000000000000000164c,14.0,14.0,5708,2020-01-01 00:00:00,1.640916859E12,14.93321389,120.5,159516,1577836800000,"{""type"":""Point"",""coordinates"":[120.50000006207247,14.93321283181545]}"
2020_01_01_00000000000000000503,13.0,13.0,1283,2020-01-01 00:00:00,1.640916859E12,15.640054,120.890625,105768,1577836800000,"{""type"":""Point"",""coordinates"":[120.89062623255646,15.640056153504531]}"
2020_01_01_00000000000000000f3c,9.0,9.0,3900,2020-01-01 00:00:00,1.640916859E12,14.8610948,121.0,108556,1577836800000,"{""type"":""Point"",""coordinates"":[120.99999906319539,14.861095790478073]}"
2020_01_01_00000000000000000f3f,14.0,14.0,3903,2020-01-01 00:00:00,1.640916859E12,14.83388231,121.0,108565,1577836800000,"{""type"":""Point"",""coordinates"":[120.99999906319539,14.833881896748897]}"
2020_01_01_000000000000000014af,13.0,13.0,5295,2020-01-01 00:00:00,1.640916859E12,14.645669,121.0625,136571,1577836800000,"{""type"":""Point"",""coordinates"":[121.06249782356049,14.645667700383996]}"
2020_01_01_00000000000000000f79,8.0,8.0,3961,2020-01-01 00:00:00,1.640916859E12,13.95138889,121.4375,108625,1577836800000,"{""type"":""Point"",""coordinates"":[121.43749930395316,13.951390125463524]}"
2020_01_01_0000000000000000102a,2.0,2.0,4138,2020-01-01 00:00:00,1.640916859E12,13.837747,122.34375,108813,1577836800000,"{""type"":""Point"",""coordinates"":[122.34374916565129,13.837745476015405]}"
2020_01_01_000000000000000002e9,12.0,12.0,745,2020-01-01 00:00:00,1.640916859E12,15.498674,120.833799,105190,1577836800000,"{""type"":""Point"",""coordinates"":[120.83379944873136,15.498675895503975]}"
2020_01_01_00000000000000001607,9.0,9.0,5639,2020-01-01 00:00:00,1.640916859E12,14.45439186,120.5759865,158009,1577836800000,"{""type"":""Point"",""coordinates"":[120.57598760312428,14.45439010159538]}"
2020_01_01_000000000000000010d5,12.0,12.0,4309,2020-01-01 00:00:00,1.640916859E12,13.992726,122.568131,108990,1577836800000,"{""type"":""Point"",""coordinates"":[122.56813113066072,13.99272599222897]}"
2020_01_01_000000000000000011b0,12.0,12.0,4528,2020-01-01 00:00:00,1.640916859E12,13.992726,122.568131,109216,1577836800000,"{""type"":""Point"",""coordinates"":[122.56813113066072,13.99272599222897]}"
2020_01_01_0000000000000000035e,12.0,12.0,862,2020-01-01 00:00:00,1.640916859E12,15.27611,120.990769,105320,1577836800000,"{""type"":""Point"",""coordinates"":[120.99076872401474,15.276108784623336]}"
2020_01_01_0000000000000000119a,12.0,12.0,4506,2020-01-01 00:00:00,1.640916859E12,13.9418274,121.4929247,109192,1577836800000,"{""type"":""Point"",""coordinates"":[121.4929259300475,13.941825353703884]}"
2020_01_01_0000000000000000097a,12.0,12.0,2426,2020-01-01 00:00:00,1.640916859E12,15.77982444,119.9019902,106984,1577836800000,"{""type"":""Point"",""coordinates"":[119.90199001979487,15.77982221692374]}"
2020_01_01_000000000000000010ba,10.0,10.0,4282,2020-01-01 00:00:00,1.640916859E12,13.9430059,121.6903886,108963,1577836800000,"{""type"":""Point"",""coordinates"":[121.69038830199725,13.943007015483044]}"
2020_01_01_000000000000000011aa,8.0,8.0,4522,2020-01-01 00:00:00,1.640916859E12,13.98421181,122.6171746,109210,1577836800000,"{""type"":""Point"",""coordinates"":[122.61717678314756,13.984213568317937]}"
2020_01_01_00000000000000000b9e,14.0,14.0,2974,2020-01-01 00:00:00,1.640916859E12,13.8544578,121.0916459,107589,1577836800000,"{""type"":""Point"",""coordinates"":[121.09164696714686,13.854458186763718]}"
